Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Cape Campbell Aws,4424,G14722,-41.727,174.275,2,G,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Surface Wind: Hourly
Station,Date(UTC),Time(UTC),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
Cape Campbell Aws,20190801,0000,203,5.7,-,-,1,H
Cape Campbell Aws,20190801,0100,227,6.1,-,-,1,H
Cape Campbell Aws,20190801,0200,223,3.8,-,-,1,H
Cape Campbell Aws,20190801,0300,251,2.5,-,-,1,H
Cape Campbell Aws,20190801,0400,202,2.3,-,-,1,H
Cape Campbell Aws,20190801,0500,212,2.8,-,-,1,H
Cape Campbell Aws,20190801,0600,227,2.9,-,-,1,H
Cape Campbell Aws,20190801,0700,273,2.8,-,-,1,H
Cape Campbell Aws,20190801,0800,305,2.9,-,-,1,H
Cape Campbell Aws,20190801,0900,271,4.2,-,-,1,H
Cape Campbell Aws,20190801,1000,288,3.7,-,-,1,H
Cape Campbell Aws,20190801,1100,116,2.9,-,-,1,H
Cape Campbell Aws,20190801,1200,286,3.0,-,-,1,H
Cape Campbell Aws,20190801,1300,290,2.8,-,-,1,H
Cape Campbell Aws,20190801,1400,308,3.1,-,-,1,H
Cape Campbell Aws,20190801,1500,284,5.2,-,-,1,H
Cape Campbell Aws,20190801,1600,278,5.8,-,-,1,H
Cape Campbell Aws,20190801,1700,300,4.6,-,-,1,H
Cape Campbell Aws,20190801,1800,299,3.8,-,-,1,H
Cape Campbell Aws,20190801,1900,313,6.9,-,-,1,H
Cape Campbell Aws,20190801,2000,294,7.3,-,-,1,H
Cape Campbell Aws,20190801,2100,324,11.7,-,-,1,H
Cape Campbell Aws,20190801,2200,343,14.3,-,-,1,H
Cape Campbell Aws,20190801,2300,13,10.1,-,-,1,H
Cape Campbell Aws,20190802,0000,344,10.3,-,-,1,H
Cape Campbell Aws,20190802,0100,239,12.8,-,-,1,H
Cape Campbell Aws,20190802,0200,2,4.6,-,-,1,H
Cape Campbell Aws,20190802,0300,294,7.4,-,-,1,H
Cape Campbell Aws,20190802,0400,292,11.1,-,-,1,H
Cape Campbell Aws,20190802,0500,298,11.7,-,-,1,H
Cape Campbell Aws,20190802,0600,295,12.3,-,-,1,H
Cape Campbell Aws,20190802,0700,278,12.0,-,-,1,H
Cape Campbell Aws,20190802,0800,270,9.0,-,-,1,H
Cape Campbell Aws,20190802,0900,272,6.4,-,-,1,H
Cape Campbell Aws,20190802,1000,206,4.2,-,-,1,H
Cape Campbell Aws,20190802,1100,210,7.8,-,-,1,H
Cape Campbell Aws,20190802,1200,197,6.3,-,-,1,H
Cape Campbell Aws,20190802,1300,206,7.0,-,-,1,H
Cape Campbell Aws,20190802,1400,204,6.6,-,-,1,H
Cape Campbell Aws,20190802,1500,205,3.5,-,-,1,H
Cape Campbell Aws,20190802,1600,198,1.7,-,-,1,H
Cape Campbell Aws,20190802,1700,341,3.8,-,-,1,H
Cape Campbell Aws,20190802,1800,216,3.6,-,-,1,H
Cape Campbell Aws,20190802,1900,207,4.1,-,-,1,H
Cape Campbell Aws,20190802,2000,210,5.3,-,-,1,H
Cape Campbell Aws,20190802,2100,210,8.1,-,-,1,H
Cape Campbell Aws,20190802,2200,208,7.1,-,-,1,H
Cape Campbell Aws,20190802,2300,207,6.7,-,-,1,H
Cape Campbell Aws,20190803,0000,347,4.8,-,-,1,H
Cape Campbell Aws,20190803,0100,25,3.4,-,-,1,H
Cape Campbell Aws,20190803,0200,35,3.3,-,-,1,H
Cape Campbell Aws,20190803,0300,67,3.4,-,-,1,H
Cape Campbell Aws,20190803,0400,59,5.4,-,-,1,H
Cape Campbell Aws,20190803,0500,18,5.4,-,-,1,H
Cape Campbell Aws,20190803,0600,348,7.2,-,-,1,H
Cape Campbell Aws,20190803,0700,315,5.1,-,-,1,H
Cape Campbell Aws,20190803,0800,316,5.6,-,-,1,H
Cape Campbell Aws,20190803,0900,311,8.0,-,-,1,H
Cape Campbell Aws,20190803,1000,320,12.9,-,-,1,H
Cape Campbell Aws,20190803,1100,333,14.8,-,-,1,H
Cape Campbell Aws,20190803,1200,344,13.3,-,-,1,H
Cape Campbell Aws,20190803,1300,351,13.8,-,-,1,H
Cape Campbell Aws,20190803,1400,350,12.1,-,-,1,H
Cape Campbell Aws,20190803,1500,325,11.1,-,-,1,H
Cape Campbell Aws,20190803,1600,331,8.6,-,-,1,H
Cape Campbell Aws,20190803,1700,330,11.3,-,-,1,H
Cape Campbell Aws,20190803,1800,331,8.7,-,-,1,H
Cape Campbell Aws,20190803,1900,266,9.5,-,-,1,H
Cape Campbell Aws,20190803,2000,203,8.1,-,-,1,H
Cape Campbell Aws,20190803,2100,288,4.6,-,-,1,H
Cape Campbell Aws,20190803,2200,202,3.6,-,-,1,H
Cape Campbell Aws,20190803,2300,153,4.0,-,-,1,H
Cape Campbell Aws,20190804,0000,39,2.8,-,-,1,H
Cape Campbell Aws,20190804,0100,312,7.9,-,-,1,H
Cape Campbell Aws,20190804,0200,319,11.4,-,-,1,H
Cape Campbell Aws,20190804,0300,320,8.1,-,-,1,H
Cape Campbell Aws,20190804,0400,316,10.3,-,-,1,H
Cape Campbell Aws,20190804,0500,306,9.4,-,-,1,H
Cape Campbell Aws,20190804,0600,288,7.6,-,-,1,H
Cape Campbell Aws,20190804,0700,219,7.6,-,-,1,H
Cape Campbell Aws,20190804,0800,216,6.4,-,-,1,H
Cape Campbell Aws,20190804,0900,292,3.4,-,-,1,H
Cape Campbell Aws,20190804,1000,260,3.5,-,-,1,H
Cape Campbell Aws,20190804,1100,284,5.3,-,-,1,H
Cape Campbell Aws,20190804,1200,286,8.6,-,-,1,H
Cape Campbell Aws,20190804,1300,312,3.3,-,-,1,H
Cape Campbell Aws,20190804,1400,233,2.4,-,-,1,H
Cape Campbell Aws,20190804,1500,223,3.5,-,-,1,H
Cape Campbell Aws,20190804,1600,223,3.3,-,-,1,H
Cape Campbell Aws,20190804,1700,222,3.8,-,-,1,H
Cape Campbell Aws,20190804,1800,325,3.2,-,-,1,H
Cape Campbell Aws,20190804,1900,240,4.0,-,-,1,H
Cape Campbell Aws,20190804,2000,233,4.1,-,-,1,H
Cape Campbell Aws,20190804,2100,243,5.3,-,-,1,H
Cape Campbell Aws,20190804,2200,292,4.8,-,-,1,H
Cape Campbell Aws,20190804,2300,295,3.4,-,-,1,H
Cape Campbell Aws,20190805,0000,303,5.9,-,-,1,H
Cape Campbell Aws,20190805,0100,287,7.9,-,-,1,H
Cape Campbell Aws,20190805,0200,281,8.6,-,-,1,H
Cape Campbell Aws,20190805,0300,166,5.4,-,-,1,H
Cape Campbell Aws,20190805,0400,342,2.8,-,-,1,H
Cape Campbell Aws,20190805,0500,289,3.6,-,-,1,H
Cape Campbell Aws,20190805,0600,275,5.6,-,-,1,H
Cape Campbell Aws,20190805,0700,283,3.2,-,-,1,H
Cape Campbell Aws,20190805,0800,280,3.8,-,-,1,H
Cape Campbell Aws,20190805,0900,308,3.8,-,-,1,H
Cape Campbell Aws,20190805,1000,292,4.5,-,-,1,H
Cape Campbell Aws,20190805,1100,300,3.8,-,-,1,H
Cape Campbell Aws,20190805,1200,295,4.3,-,-,1,H
Cape Campbell Aws,20190805,1300,286,4.9,-,-,1,H
Cape Campbell Aws,20190805,1400,289,5.8,-,-,1,H
Cape Campbell Aws,20190805,1500,287,4.8,-,-,1,H
Cape Campbell Aws,20190805,1600,295,4.8,-,-,1,H
Cape Campbell Aws,20190805,1700,284,5.0,-,-,1,H
Cape Campbell Aws,20190805,1800,275,6.0,-,-,1,H
Cape Campbell Aws,20190805,1900,285,4.9,-,-,1,H
Cape Campbell Aws,20190805,2000,278,4.9,-,-,1,H
Cape Campbell Aws,20190805,2100,316,4.0,-,-,1,H
Cape Campbell Aws,20190805,2200,242,2.4,-,-,1,H
Cape Campbell Aws,20190805,2300,187,0.9,-,-,1,H
Cape Campbell Aws,20190806,0000,225,0.9,-,-,1,H
Cape Campbell Aws,20190806,0100,53,1.4,-,-,1,H
Cape Campbell Aws,20190806,0200,69,2.3,-,-,1,H
Cape Campbell Aws,20190806,0300,116,2.4,-,-,1,H
Cape Campbell Aws,20190806,0400,98,3.3,-,-,1,H
Cape Campbell Aws,20190806,0500,150,3.5,-,-,1,H
Cape Campbell Aws,20190806,0600,194,3.8,-,-,1,H
Cape Campbell Aws,20190806,0700,194,4.0,-,-,1,H
Cape Campbell Aws,20190806,0800,285,3.0,-,-,1,H
Cape Campbell Aws,20190806,0900,282,1.5,-,-,1,H
Cape Campbell Aws,20190806,1000,312,1.6,-,-,1,H
Cape Campbell Aws,20190806,1100,278,3.3,-,-,1,H
Cape Campbell Aws,20190806,1200,296,3.9,-,-,1,H
Cape Campbell Aws,20190806,1300,279,4.0,-,-,1,H
Cape Campbell Aws,20190806,1400,297,4.7,-,-,1,H
Cape Campbell Aws,20190806,1500,269,4.0,-,-,1,H
Cape Campbell Aws,20190806,1600,285,3.6,-,-,1,H
Cape Campbell Aws,20190806,1700,267,3.5,-,-,1,H
Cape Campbell Aws,20190806,1800,298,4.4,-,-,1,H
Cape Campbell Aws,20190806,1900,309,4.1,-,-,1,H
Cape Campbell Aws,20190806,2000,305,4.5,-,-,1,H
Cape Campbell Aws,20190806,2100,288,5.8,-,-,1,H
Cape Campbell Aws,20190806,2200,317,6.0,-,-,1,H
Cape Campbell Aws,20190806,2300,335,6.8,-,-,1,H
Cape Campbell Aws,20190807,0000,331,10.1,-,-,1,H
Cape Campbell Aws,20190807,0100,345,11.1,-,-,1,H
Cape Campbell Aws,20190807,0200,345,11.6,-,-,1,H
Cape Campbell Aws,20190807,0300,342,10.2,-,-,1,H
Cape Campbell Aws,20190807,0400,332,9.5,-,-,1,H
Cape Campbell Aws,20190807,0500,327,6.3,-,-,1,H
Cape Campbell Aws,20190807,0600,311,7.8,-,-,1,H
Cape Campbell Aws,20190807,0700,310,7.8,-,-,1,H
Cape Campbell Aws,20190807,0800,297,6.9,-,-,1,H
Cape Campbell Aws,20190807,0900,328,9.4,-,-,1,H
Cape Campbell Aws,20190807,1000,294,7.3,-,-,1,H
Cape Campbell Aws,20190807,1100,301,6.6,-,-,1,H
Cape Campbell Aws,20190807,1200,285,5.5,-,-,1,H
Cape Campbell Aws,20190807,1300,287,4.0,-,-,1,H
Cape Campbell Aws,20190807,1400,293,4.4,-,-,1,H
Cape Campbell Aws,20190807,1500,303,5.0,-,-,1,H
Cape Campbell Aws,20190807,1600,300,5.8,-,-,1,H
Cape Campbell Aws,20190807,1700,313,5.0,-,-,1,H
Cape Campbell Aws,20190807,1800,296,5.6,-,-,1,H
Cape Campbell Aws,20190807,1900,310,5.0,-,-,1,H
Cape Campbell Aws,20190807,2000,295,4.7,-,-,1,H
Cape Campbell Aws,20190807,2100,306,5.3,-,-,1,H
Cape Campbell Aws,20190807,2200,348,9.4,-,-,1,H
Cape Campbell Aws,20190807,2300,341,10.9,-,-,1,H
Cape Campbell Aws,20190808,0000,340,12.1,-,-,1,H
Cape Campbell Aws,20190808,0100,351,11.6,-,-,1,H
Cape Campbell Aws,20190808,0200,350,11.9,-,-,1,H
Cape Campbell Aws,20190808,0300,359,11.5,-,-,1,H
Cape Campbell Aws,20190808,0400,345,12.6,-,-,1,H
Cape Campbell Aws,20190808,0500,332,12.9,-,-,1,H
Cape Campbell Aws,20190808,0600,334,13.3,-,-,1,H
Cape Campbell Aws,20190808,0700,324,15.3,-,-,1,H
Cape Campbell Aws,20190808,0800,325,12.9,-,-,1,H
Cape Campbell Aws,20190808,0900,332,11.6,-,-,1,H
Cape Campbell Aws,20190808,1000,329,11.2,-,-,1,H
Cape Campbell Aws,20190808,1100,328,11.5,-,-,1,H
Cape Campbell Aws,20190808,1200,323,14.1,-,-,1,H
Cape Campbell Aws,20190808,1300,326,13.3,-,-,1,H
Cape Campbell Aws,20190808,1400,305,13.2,-,-,1,H
Cape Campbell Aws,20190808,1500,317,12.9,-,-,1,H
Cape Campbell Aws,20190808,1600,329,11.6,-,-,1,H
Cape Campbell Aws,20190808,1700,318,11.7,-,-,1,H
Cape Campbell Aws,20190808,1800,336,11.8,-,-,1,H
Cape Campbell Aws,20190808,1900,331,10.7,-,-,1,H
Cape Campbell Aws,20190808,2000,324,10.2,-,-,1,H
Cape Campbell Aws,20190808,2100,294,6.6,-,-,1,H
Cape Campbell Aws,20190808,2200,330,3.5,-,-,1,H
Cape Campbell Aws,20190808,2300,295,2.4,-,-,1,H
Cape Campbell Aws,20190809,0000,13,2.5,-,-,1,H
Cape Campbell Aws,20190809,0100,39,4.1,-,-,1,H
Cape Campbell Aws,20190809,0200,63,3.3,-,-,1,H
Cape Campbell Aws,20190809,0300,228,1.7,-,-,1,H
Cape Campbell Aws,20190809,0400,200,1.1,-,-,1,H
Cape Campbell Aws,20190809,0500,199,3.1,-,-,1,H
Cape Campbell Aws,20190809,0600,207,4.1,-,-,1,H
Cape Campbell Aws,20190809,0700,210,7.9,-,-,1,H
Cape Campbell Aws,20190809,0800,206,8.4,-,-,1,H
Cape Campbell Aws,20190809,0900,204,7.4,-,-,1,H
Cape Campbell Aws,20190809,1000,208,6.2,-,-,1,H
Cape Campbell Aws,20190809,1100,201,5.4,-,-,1,H
Cape Campbell Aws,20190809,1200,195,4.6,-,-,1,H
Cape Campbell Aws,20190809,1300,183,5.3,-,-,1,H
Cape Campbell Aws,20190809,1400,186,5.7,-,-,1,H
Cape Campbell Aws,20190809,1500,193,4.3,-,-,1,H
Cape Campbell Aws,20190809,1600,159,4.5,-,-,1,H
Cape Campbell Aws,20190809,1700,134,4.9,-,-,1,H
Cape Campbell Aws,20190809,1800,138,4.6,-,-,1,H
Cape Campbell Aws,20190809,1900,133,4.4,-,-,1,H
Cape Campbell Aws,20190809,2000,112,4.4,-,-,1,H
Cape Campbell Aws,20190809,2100,103,4.3,-,-,1,H
Cape Campbell Aws,20190809,2200,93,4.4,-,-,1,H
Cape Campbell Aws,20190809,2300,82,6.3,-,-,1,H
Cape Campbell Aws,20190810,0000,53,8.2,-,-,1,H
Cape Campbell Aws,20190810,0100,63,7.1,-,-,1,H
Cape Campbell Aws,20190810,0200,83,6.1,-,-,1,H
Cape Campbell Aws,20190810,0300,141,5.1,-,-,1,H
Cape Campbell Aws,20190810,0400,181,3.4,-,-,1,H
Cape Campbell Aws,20190810,0500,295,3.2,-,-,1,H
Cape Campbell Aws,20190810,0600,344,4.0,-,-,1,H
Cape Campbell Aws,20190810,0700,13,5.9,-,-,1,H
Cape Campbell Aws,20190810,0800,344,7.5,-,-,1,H
Cape Campbell Aws,20190810,0900,341,8.1,-,-,1,H
Cape Campbell Aws,20190810,1000,338,8.1,-,-,1,H
Cape Campbell Aws,20190810,1100,339,9.1,-,-,1,H
Cape Campbell Aws,20190810,1200,338,9.4,-,-,1,H
Cape Campbell Aws,20190810,1300,341,10.0,-,-,1,H
Cape Campbell Aws,20190810,1400,339,8.9,-,-,1,H
Cape Campbell Aws,20190810,1500,350,5.6,-,-,1,H
Cape Campbell Aws,20190810,1600,337,6.0,-,-,1,H
Cape Campbell Aws,20190810,1700,333,4.8,-,-,1,H
Cape Campbell Aws,20190810,1800,335,6.4,-,-,1,H
Cape Campbell Aws,20190810,1900,341,7.8,-,-,1,H
Cape Campbell Aws,20190810,2000,344,8.5,-,-,1,H
Cape Campbell Aws,20190810,2100,334,8.1,-,-,1,H
Cape Campbell Aws,20190810,2200,340,7.7,-,-,1,H
Cape Campbell Aws,20190810,2300,335,6.4,-,-,1,H
Cape Campbell Aws,20190811,0000,349,5.9,-,-,1,H
Cape Campbell Aws,20190811,0100,5,5.6,-,-,1,H
Cape Campbell Aws,20190811,0200,219,2.3,-,-,1,H
Cape Campbell Aws,20190811,0300,194,4.5,-,-,1,H
Cape Campbell Aws,20190811,0400,179,6.1,-,-,1,H
Cape Campbell Aws,20190811,0500,181,6.2,-,-,1,H
Cape Campbell Aws,20190811,0600,175,5.7,-,-,1,H
Cape Campbell Aws,20190811,0700,171,5.1,-,-,1,H
Cape Campbell Aws,20190811,0800,175,5.7,-,-,1,H
Cape Campbell Aws,20190811,0900,182,6.4,-,-,1,H
Cape Campbell Aws,20190811,1000,203,5.8,-,-,1,H
Cape Campbell Aws,20190811,1100,207,5.1,-,-,1,H
Cape Campbell Aws,20190811,1200,204,4.2,-,-,1,H
Cape Campbell Aws,20190811,1300,216,2.9,-,-,1,H
Cape Campbell Aws,20190811,1400,205,3.9,-,-,1,H
Cape Campbell Aws,20190811,1500,212,3.2,-,-,1,H
Cape Campbell Aws,20190811,1600,2,2.0,-,-,1,H
Cape Campbell Aws,20190811,1700,249,1.8,-,-,1,H
Cape Campbell Aws,20190811,1800,299,2.4,-,-,1,H
Cape Campbell Aws,20190811,1900,318,2.9,-,-,1,H
Cape Campbell Aws,20190811,2000,354,2.1,-,-,1,H
Cape Campbell Aws,20190811,2100,319,2.1,-,-,1,H
Cape Campbell Aws,20190811,2200,123,1.5,-,-,1,H
Cape Campbell Aws,20190811,2300,320,1.4,-,-,1,H
Cape Campbell Aws,20190812,0000,135,1.6,-,-,1,H
Cape Campbell Aws,20190812,0100,172,3.8,-,-,1,H
Cape Campbell Aws,20190812,0200,182,5.0,-,-,1,H
Cape Campbell Aws,20190812,0300,192,5.7,-,-,1,H
Cape Campbell Aws,20190812,0400,208,5.6,-,-,1,H
Cape Campbell Aws,20190812,0500,188,6.9,-,-,1,H
Cape Campbell Aws,20190812,0600,189,9.1,-,-,1,H
Cape Campbell Aws,20190812,0700,189,9.2,-,-,1,H
Cape Campbell Aws,20190812,0800,196,8.6,-,-,1,H
Cape Campbell Aws,20190812,0900,200,7.5,-,-,1,H
Cape Campbell Aws,20190812,1000,207,5.8,-,-,1,H
Cape Campbell Aws,20190812,1100,222,4.0,-,-,1,H
Cape Campbell Aws,20190812,1200,229,2.7,-,-,1,H
Cape Campbell Aws,20190812,1300,223,3.1,-,-,1,H
Cape Campbell Aws,20190812,1400,293,2.9,-,-,1,H
Cape Campbell Aws,20190812,1500,274,3.8,-,-,1,H
Cape Campbell Aws,20190812,1600,342,5.8,-,-,1,H
Cape Campbell Aws,20190812,1700,327,6.6,-,-,1,H
Cape Campbell Aws,20190812,1800,334,8.8,-,-,1,H
Cape Campbell Aws,20190812,1900,321,8.3,-,-,1,H
Cape Campbell Aws,20190812,2000,301,6.6,-,-,1,H
Cape Campbell Aws,20190812,2100,302,7.6,-,-,1,H
Cape Campbell Aws,20190812,2200,295,7.8,-,-,1,H
Cape Campbell Aws,20190812,2300,312,7.9,-,-,1,H
Cape Campbell Aws,20190813,0000,313,7.5,-,-,1,H
Cape Campbell Aws,20190813,0100,313,8.1,-,-,1,H
Cape Campbell Aws,20190813,0200,313,8.9,-,-,1,H
Cape Campbell Aws,20190813,0300,305,11.8,-,-,1,H
Cape Campbell Aws,20190813,0400,307,13.8,-,-,1,H
Cape Campbell Aws,20190813,0500,310,13.4,-,-,1,H
Cape Campbell Aws,20190813,0600,306,11.2,-,-,1,H
Cape Campbell Aws,20190813,0700,294,10.8,-,-,1,H
Cape Campbell Aws,20190813,0800,284,7.6,-,-,1,H
Cape Campbell Aws,20190813,0900,275,8.7,-,-,1,H
Cape Campbell Aws,20190813,1000,290,6.6,-,-,1,H
Cape Campbell Aws,20190813,1100,183,8.8,-,-,1,H
Cape Campbell Aws,20190813,1200,176,10.6,-,-,1,H
Cape Campbell Aws,20190813,1300,174,7.8,-,-,1,H
Cape Campbell Aws,20190813,1400,194,5.6,-,-,1,H
Cape Campbell Aws,20190813,1500,170,4.9,-,-,1,H
Cape Campbell Aws,20190813,1600,169,5.9,-,-,1,H
Cape Campbell Aws,20190813,1700,176,6.2,-,-,1,H
Cape Campbell Aws,20190813,1800,176,7.1,-,-,1,H
Cape Campbell Aws,20190813,1900,162,6.3,-,-,1,H
Cape Campbell Aws,20190813,2000,170,4.4,-,-,1,H
Cape Campbell Aws,20190813,2100,247,1.4,-,-,1,H
Cape Campbell Aws,20190813,2200,218,1.7,-,-,1,H
Cape Campbell Aws,20190813,2300,195,4.3,-,-,1,H
Cape Campbell Aws,20190814,0000,201,6.7,-,-,1,H
Cape Campbell Aws,20190814,0100,199,8.1,-,-,1,H
Cape Campbell Aws,20190814,0200,187,8.6,-,-,1,H
Cape Campbell Aws,20190814,0300,191,9.3,-,-,1,H
Cape Campbell Aws,20190814,0400,190,9.2,-,-,1,H
Cape Campbell Aws,20190814,0500,174,8.8,-,-,1,H
Cape Campbell Aws,20190814,0600,189,9.4,-,-,1,H
Cape Campbell Aws,20190814,0700,177,8.6,-,-,1,H
Cape Campbell Aws,20190814,0800,197,8.0,-,-,1,H
Cape Campbell Aws,20190814,0900,193,8.3,-,-,1,H
Cape Campbell Aws,20190814,1000,187,8.1,-,-,1,H
Cape Campbell Aws,20190814,1100,217,6.3,-,-,1,H
Cape Campbell Aws,20190814,1200,221,3.6,-,-,1,H
Cape Campbell Aws,20190814,1300,226,3.8,-,-,1,H
Cape Campbell Aws,20190814,1400,251,2.4,-,-,1,H
Cape Campbell Aws,20190814,1500,270,2.9,-,-,1,H
Cape Campbell Aws,20190814,1600,288,4.1,-,-,1,H
Cape Campbell Aws,20190814,1700,286,4.1,-,-,1,H
Cape Campbell Aws,20190814,1800,295,3.9,-,-,1,H
Cape Campbell Aws,20190814,1900,299,4.2,-,-,1,H
Cape Campbell Aws,20190814,2000,302,4.3,-,-,1,H
Cape Campbell Aws,20190814,2100,312,6.3,-,-,1,H
Cape Campbell Aws,20190814,2200,338,6.8,-,-,1,H
Cape Campbell Aws,20190814,2300,359,7.9,-,-,1,H
Cape Campbell Aws,20190815,0000,1,8.3,-,-,1,H
Cape Campbell Aws,20190815,0100,5,8.1,-,-,1,H
Cape Campbell Aws,20190815,0200,5,7.8,-,-,1,H
Cape Campbell Aws,20190815,0300,19,6.8,-,-,1,H
Cape Campbell Aws,20190815,0400,21,6.9,-,-,1,H
Cape Campbell Aws,20190815,0500,23,7.0,-,-,1,H
Cape Campbell Aws,20190815,0600,22,6.2,-,-,1,H
Cape Campbell Aws,20190815,0700,26,5.9,-,-,1,H
Cape Campbell Aws,20190815,0800,16,4.3,-,-,1,H
Cape Campbell Aws,20190815,0900,6,4.6,-,-,1,H
Cape Campbell Aws,20190815,1000,318,4.2,-,-,1,H
Cape Campbell Aws,20190815,1100,296,3.1,-,-,1,H
Cape Campbell Aws,20190815,1200,284,3.1,-,-,1,H
Cape Campbell Aws,20190815,1300,319,3.4,-,-,1,H
Cape Campbell Aws,20190815,1400,333,5.3,-,-,1,H
Cape Campbell Aws,20190815,1500,318,6.6,-,-,1,H
Cape Campbell Aws,20190815,1600,330,6.5,-,-,1,H
Cape Campbell Aws,20190815,1700,326,8.5,-,-,1,H
Cape Campbell Aws,20190815,1800,332,9.0,-,-,1,H
Cape Campbell Aws,20190815,1900,319,9.6,-,-,1,H
Cape Campbell Aws,20190815,2000,317,8.6,-,-,1,H
Cape Campbell Aws,20190815,2100,327,9.3,-,-,1,H
Cape Campbell Aws,20190815,2200,332,9.7,-,-,1,H
Cape Campbell Aws,20190815,2300,312,7.6,-,-,1,H
Cape Campbell Aws,20190816,0000,312,6.9,-,-,1,H
Cape Campbell Aws,20190816,0100,309,7.8,-,-,1,H
Cape Campbell Aws,20190816,0200,311,9.0,-,-,1,H
Cape Campbell Aws,20190816,0300,299,8.8,-,-,1,H
Cape Campbell Aws,20190816,0400,292,7.9,-,-,1,H
Cape Campbell Aws,20190816,0500,297,9.3,-,-,1,H
Cape Campbell Aws,20190816,0600,301,10.7,-,-,1,H
Cape Campbell Aws,20190816,0700,323,11.3,-,-,1,H
Cape Campbell Aws,20190816,0800,339,13.3,-,-,1,H
Cape Campbell Aws,20190816,0900,316,13.2,-,-,1,H
Cape Campbell Aws,20190816,1000,314,14.4,-,-,1,H
Cape Campbell Aws,20190816,1100,334,14.3,-,-,1,H
Cape Campbell Aws,20190816,1200,306,15.4,-,-,1,H
Cape Campbell Aws,20190816,1300,320,15.3,-,-,1,H
Cape Campbell Aws,20190816,1400,309,16.6,-,-,1,H
Cape Campbell Aws,20190816,1500,321,11.4,-,-,1,H
Cape Campbell Aws,20190816,1600,336,11.1,-,-,1,H
Cape Campbell Aws,20190816,1700,329,12.8,-,-,1,H
Cape Campbell Aws,20190816,1800,332,12.3,-,-,1,H
Cape Campbell Aws,20190816,1900,332,13.1,-,-,1,H
Cape Campbell Aws,20190816,2000,311,12.0,-,-,1,H
Cape Campbell Aws,20190816,2100,203,8.2,-,-,1,H
Cape Campbell Aws,20190816,2200,196,11.4,-,-,1,H
Cape Campbell Aws,20190816,2300,205,10.8,-,-,0.1667,H
Cape Campbell Aws,20190817,0000,203,10.8,-,-,1,H
Cape Campbell Aws,20190817,0100,208,9.0,-,-,1,H
Cape Campbell Aws,20190817,0200,209,7.9,-,-,1,H
Cape Campbell Aws,20190817,0300,205,10.5,-,-,1,H
Cape Campbell Aws,20190817,0400,207,11.9,-,-,1,H
Cape Campbell Aws,20190817,0500,202,12.0,-,-,1,H
Cape Campbell Aws,20190817,0600,184,12.5,-,-,1,H
Cape Campbell Aws,20190817,0700,195,14.2,-,-,1,H
Cape Campbell Aws,20190817,0800,205,12.9,-,-,1,H
Cape Campbell Aws,20190817,0900,206,11.5,-,-,1,H
Cape Campbell Aws,20190817,1000,203,10.8,-,-,1,H
Cape Campbell Aws,20190817,1100,202,10.6,-,-,1,H
Cape Campbell Aws,20190817,1200,205,10.9,-,-,1,H
Cape Campbell Aws,20190817,1300,206,10.9,-,-,1,H
Cape Campbell Aws,20190817,1400,173,11.6,-,-,1,H
Cape Campbell Aws,20190817,1500,195,11.9,-,-,1,H
Cape Campbell Aws,20190817,1600,184,11.5,-,-,1,H
Cape Campbell Aws,20190817,1700,200,10.0,-,-,1,H
Cape Campbell Aws,20190817,1800,197,10.2,-,-,1,H
Cape Campbell Aws,20190817,1900,189,11.4,-,-,1,H
Cape Campbell Aws,20190817,2000,201,9.8,-,-,1,H
Cape Campbell Aws,20190817,2100,212,9.8,-,-,1,H
Cape Campbell Aws,20190817,2200,199,8.6,-,-,1,H
Cape Campbell Aws,20190817,2300,204,9.7,-,-,1,H
Cape Campbell Aws,20190818,0000,208,9.5,-,-,1,H
Cape Campbell Aws,20190818,0100,213,8.8,-,-,1,H
Cape Campbell Aws,20190818,0200,202,8.6,-,-,1,H
Cape Campbell Aws,20190818,0300,197,8.8,-,-,1,H
Cape Campbell Aws,20190818,0400,197,8.0,-,-,1,H
Cape Campbell Aws,20190818,0500,161,9.3,-,-,1,H
Cape Campbell Aws,20190818,0600,158,8.5,-,-,1,H
Cape Campbell Aws,20190818,0700,148,6.7,-,-,1,H
Cape Campbell Aws,20190818,0800,138,6.6,-,-,1,H
Cape Campbell Aws,20190818,0900,136,6.2,-,-,1,H
Cape Campbell Aws,20190818,1000,166,3.7,-,-,1,H
Cape Campbell Aws,20190818,1100,268,1.4,-,-,1,H
Cape Campbell Aws,20190818,1200,232,2.5,-,-,1,H
Cape Campbell Aws,20190818,1300,281,2.6,-,-,1,H
Cape Campbell Aws,20190818,1400,280,2.6,-,-,1,H
Cape Campbell Aws,20190818,1500,278,4.3,-,-,1,H
Cape Campbell Aws,20190818,1600,281,6.4,-,-,1,H
Cape Campbell Aws,20190818,1700,284,7.1,-,-,1,H
Cape Campbell Aws,20190818,1800,318,7.9,-,-,1,H
Cape Campbell Aws,20190818,1900,325,9.6,-,-,1,H
Cape Campbell Aws,20190818,2000,328,10.6,-,-,1,H
